Core-index,jlpt ,Vocab-expression,Vocab-kana,Vocab-meaning,Vocab-pos,Sentence-expression,Sentence-kana,Sentence-meaning
2961,JLPT1,出血,しゅっけつ,"bleeding, hemorrhage",Verbal Noun,出血がひどいので、医者に行ったほうがいい。,しゅっけつ が ひどい の で いしゃ に いった ほう が いい,You're bleeding badly so you should go see a doctor.
2962,JLPT2,消化,しょうか,"digestion, consumption",Verbal Noun,彼は消化不良を起こしたんだ。,かれ は しょうか ふりょう を おこした ん だ,He had indigestion.
2963,JLPT2,横断,おうだん,"crossing, traversing",Verbal Noun,道路を横断するときは注意して。,どうろ を おうだん する とき は ちゅうい して,Be careful when crossing the road.
2964,JLPT2,強引,ごういん,"overbearing, coercive",Adjective,友人の強引な誘いを断れませんでした。,ゆうじん の ごういん な さそい を ことわれません でした,I was not able to decline my friend's persistent invitation.
2965,JLPT2,校庭,こうてい,"schoolyard, campus",Noun,陸上部は校庭で練習しています。,りくじょうぶ は こうてい で れんしゅう して います,A track club is practicing in the schoolyard.
2966,JLPT1,孤独,こどく,"solitary, lonely",Adjectival Noun,彼は孤独な人生を送っていたんだ。,かれ は こどく な じんせい を おくって いた ん だ,He lived a solitary life.
2967,JLPT1,指揮,しき,"command, initiative",Verbal Noun,彼がそのプロジェクトの指揮を取ったの。,かれ が その ぷろじぇくと の しき を とった の,He took the initiative on that project.
2968,JLPT2,時刻,じこく,"time, hour",Noun,ただ今の時刻は6時35分です。,ただいま の じこく は ろくじ さんじゅうごふん です,The time just now is 6:35.
2969,JLPT2,純粋,じゅんすい,"pure, unmixed",Adjectival Noun,子供の純粋な心を傷付けてはいけません。,こども の じゅんすい な こころ を きずつけて は いけません,You shouldn't hurt children's pure hearts.
2970,JLPT1,助詞,じょし,"particle, postposition",Noun,助詞を変えると文の意味が変わります。,じょし を かえる と ぶん の いみ が かわります,The sentence meaning changes when the particle is changed.
2971,JLPT0,好奇心,こうきしん,curiosity,Noun,子供は好奇心でいっぱいだね。,こども は こうきしん で いっぱい だ ね,Children are full of curiosity.
2972,JLPT2,実習,じっしゅう,"practice, training",Verbal Noun,今日は料理の実習があった。,きょう は りょうり の じっしゅう が あった,Today we had cooking practice.
2973,JLPT2,渋滞,じゅうたい,"delay, traffic jam",Verbal Noun,この国道はよく渋滞します。,この こくどう は よく じゅうたい します,This national highway is often congested.
2974,JLPT0,種目,しゅもく,"item, event",Noun,その選手は2種目でメダルを取ったわ。,その せんしゅ は にしゅもく で めだる を とった わ,The athlete won medals in two events.
2975,JLPT2,商売,しょうばい,"trade, business",Verbal Noun,彼の商売は儲かっているな。,かれ の しょうばい は もうかって いる な,His business is profitable.
2976,JLPT2,親友,しんゆう,close friend,Noun,彼は私の親友です。,かれ は わたし の しんゆう です,He is a close friend.
2977,JLPT2,専攻,せんこう,"major, specialization",Verbal Noun,大学では物理を専攻していました。,だいがく で は ぶつり を せんこう して いました,I majored in physics at university.
2978,JLPT1,アマチュア,アマチュア,amateur,Noun,彼はアマチュア音楽家です。,かれ は あまちゅあ おんがくか です,He is an amateur musician.
2979,JLPT1,生かす,いかす,"take advantage of, make use of",Verb,彼女は語学力を仕事に生かしているね。,かのじょ は ごがくりょく を しごと に いかして いる ね,She takes advantage of her language ability in her work.
2980,JLPT0,片手,かたて,one hand,Noun,片手運転は危ないよ。,かたて うんてん は あぶないよ,Single-handed driving is dangerous.
2981,JLPT2,きつい,きつい,"severe, hard, strict",Adjective,彼女は性格がきついよね。,かのじょ は せいかく が きつい よ ね,She has a strong personality.
2982,JLPT1,コーナー,コーナー,corner,Noun,バーゲンコーナーでDVDを買いました。,ばーげんこーなー で でぃーぶいでぃー を かいました,I bought a DVD in the sale corner.
2983,JLPT1,根本,こんぽん,"basis, root",Noun,問題の根本を見直しましょう。,もんだい の こんぽん を みなおしましょう,Let's look again at the root of the problem.
2984,JLPT2,知らせ,しらせ,"information, notice",Noun,今日、合格の知らせをもらいました。,きょう ごうかく の しらせ を もらいました,Today I received a notice that I passed.
2985,JLPT1,素早い,すばやい,"nimble, quick",Adjective,彼は素早くあたりを見回したの。,かれ は すばやく あたり を みまわした の,He quickly looked around.
2986,JLPT2,澄む,すむ,"clear, become clear",Verb,山の空気は澄んでいますね。,やま の くうき は すんで います ね,The mountain air is clear.
2987,JLPT0,前期,ぜんき,"previous term, last semester",Noun,前期の売上はとても良かったわ。,ぜんき の うりあげ は とても よかった わ,Sales during the first term were very good.
2988,JLPT0,悪質,あくしつ,"bad, malignant",Adjectival Noun,最近は悪質な事件が多いですね。,さいきん は あくしつ な じけん が おおい です ね,There have been a lot of malicious incidents recently.
2989,JLPT2,荒い,あらい,"wild, reckless",Adjective,彼は金遣いが荒いな。,かれ は かねづかい が あらい な,He spends money recklessly.
2990,JLPT2,受け持つ,うけもつ,have charge of,Verb,1年生を受け持っています。,いちねんせい を うけもって います,I am in charge of the first graders.
2991,JLPT1,打ち込む,うちこむ,devote oneself,Verb,彼は研究に打ち込んでいます。,かれ は けんきゅう に うちこんで います,He is dedicated to his research.
2992,JLPT2,煙突,えんとつ,"chimney, smokestack",Noun,工場の煙突から煙が上がっている。,こうじょう の えんとつ から けむり が あがって いる,Smoke is rising from the factory's smokestack.
2993,JLPT2,外出,がいしゅつ,outing,Verbal Noun,午後は外出の予定です。,ごご は がいしゅつ の よてい です,I plan to go out this afternoon.
2994,JLPT0,歌舞伎,かぶき,kabuki,Noun,歌舞伎の芝居を見に行きました。,かぶき の しばい を み に いきました 。,I went to see a kabuki play.
2995,JLPT2,感激,かんげき,"deep emotion, moving",Verbal Noun,感激して泣いてしまいました。,かんげき して ないて しまいました,I was moved to tears.
2996,JLPT1,漢語,かんご,Chinese-character compounds,Noun,漢語はもともと外来語です。,かんご は もともと がいらいご です,Kanji compounds are originally loanwords.
2997,JLPT2,客席,きゃくせき,"seat, passenger seat",Noun,私たちは客席に座ったんだ。,わたしたち は きゃくせき に すわった ん だ,We sat on the seat.
2998,JLPT0,ぎりぎり,ぎりぎり,"just in time, barely",Adverb,会社の始業時間にぎりぎりで間に合ったよ。,かいしゃ の しぎょうじかん に ぎりぎり で まにあった よ,I just made it in time for the start of work.
2999,JLPT0,実用的,じつようてき,practical,Adjective,彼の発明品はみな実用的だよ。,かれ の はつめいひん は みな じつようてき だ よ,All his inventions are practical.
3000,JLPT2,洗剤,せんざい,"detergent, cleanser",Noun,床に洗剤をこぼしてしまいました。,ゆか に せんざい を こぼして しまいました,I spilt detergent on the floor.
3001,JLPT0,イスラム教,イスラムきょう,"Islam, Muslim religion",Noun,これはイスラム教の寺院です。,これ は いすらむきょう の じいん です,This is a mosque.
3002,JLPT2,引用,いんよう,"quotation, citation",Verbal Noun,論文にその本を引用したの。,ろんぶん に その ほん を いんよう した の,I quoted the book in my thesis.
3003,JLPT2,荒い,あらい,"harsh, rough",Adjective,うちの犬は気が荒い。,うち の いぬ は き が あらい,Our dog is bad-tempered.
3004,JLPT0,ウサギ,ウサギ,"rabbit, hare",Noun,ウサギとカメの話を知っていますか。,うさぎ と かめ の はなし を しって います か,Do you know the story of the tortoise and the hare?
3005,JLPT2,教わる,おそわる,"be taught, learn",Verb,私は両親から多くを教わりました。,わたし は りょうしん から おおく を おそわりました,I learned a lot from my parents.
3006,JLPT1,外観,がいかん,external appearance,Noun,そのモダンな外観の建物が大使館です。,その もだん な がいかん の たてもの が たいしかん です,That building with the modern exterior is the embassy.
3007,JLPT2,間隔,かんかく,"interval, space",Noun,電車は5分間隔で来ますよ。,でんしゃ は ごふん かんかく で きます よ,The train comes every five minutes.
3008,JLPT2,岸,きし,"shore, bank",Noun,船がやっと岸に着いたよ。,ふね が やっと きし に ついた よ,The ship finally reached the shore.
3009,JLPT0,グラウンド,グラウンド,sports field,Noun,野球部はグラウンドで練習しています。,やきゅうぶ は ぐらうんど で れんしゅう して います,The baseball club is practicing at the field.
3010,JLPT3,下宿,げしゅく,"lodging, boarding house",Verbal Noun,親類の家に4年間下宿しました。,しんるい の いえ に よねんかん げしゅく しました,I boarded at a relative's house for four years.
3011,JLPT0,後方,こうほう,"back, rear",Noun,彼は後方の座席に着いたの。,かれ は こうほう の ざせき に ついた の,He sat down on a rear seat.
3012,JLPT2,越す,こす,"go over, surmount",Verb,暑さは峠を越したね。,あつさ は とうげ を こした ね,The worst of the heat has passed.
3013,JLPT2,囁く,ささやく,whisper,Verb,「この会議は退屈だ」と同僚が私に囁いたの。,「 この かいぎ は たいくつ だ 」 と どうりょう が わたし に ささやいた の 。,"My colleague whispered to me, ""this meeting is boring."""
3014,JLPT2,縛る,しばる,"bind, restrict",Verb,古新聞をひもで縛ったよ。,ふるしんぶん を ひも で しばった よ 。,I tied up the old newspapers with string.
3015,JLPT1,主任,しゅにん,"person in charge, head",Noun,彼女は会計主任です。,かのじょ は かいけい しゅにん です,She is an account manager.
3016,JLPT0,青空,あおぞら,blue sky,Noun,雲一つない青空ですね。,くも ひとつ ない あおぞら です ね,It is a cloudless blue sky.
3017,JLPT3,赤ん坊,あかんぼう,baby,Noun,その頃彼はまだ赤ん坊だったよね。,その ころ かれ は まだ あかんぼう だった よ ね,He was still a baby in those days.
3018,JLPT2,裏切る,うらぎる,betray,Verb,彼は仲間を裏切ったの。,かれ は なかま を うらぎった の,He betrayed his friends.
3019,JLPT2,英文,えいぶん,"English, English writing",Noun,彼女は英文の手紙を書きました。,かのじょ は えいぶん の てがみ を かきました,She wrote an English letter.
3020,JLPT0,下流,かりゅう,downstream,Noun,下流に小さな滝があるよ。,かりゅう に ちいさ な たき が ある よ,There is a small waterfall downstream.
3021,JLPT2,技師,ぎし,"engineer, technician",Noun,彼はレントゲン技師です。,かれ は れんとげん ぎし です,He is a radiographer.
3022,JLPT2,教養,きょうよう,"culture, education",Noun,彼女はとても教養のある人ですね。,かのじょ は とても きょうよう の ある ひと です ね,She is a well-educated person.
3023,JLPT2,金銭,きんせん,"money, cash",Noun,金銭のトラブルには関わりたくありません。,きんせん の とらぶる に は かかわりたく ありません,I don't want to get involved with money problems.
3024,JLPT2,毛皮,けがわ,fur,Noun,彼女は毛皮のコートを着ていたの。,かのじょ は けがわ の こーと を きて いた の,She wore a fur coat.
3025,JLPT0,最先端,さいせんたん,"cutting edge, forefront",Noun,そのカメラには最先端の技術が使われています。,その かめら に は さいせんたん の ぎじゅつ が つかわれて います,State-of-the-art technology is used in that camera.
3026,JLPT2,さっぱり,さっぱり,"completely, not at all",Adverb,彼女の言っていることがさっぱり分からないの。,かのじょ の いって いる こと が さっぱり わからない の,I can't understand what she says at all.
3027,JLPT2,子孫,しそん,"descendant, offspring",Noun,彼は織田信長の子孫だよ。,かれ は おだのぶなが の しそん だ よ,He is a descendant of Oda Nobunaga.
3028,JLPT2,シャッター,シャッター,shutter,Noun,丸いボタンを押すとシャッターが閉まります。,まるい ぼたん を おすと しゃったー が しまります,The shutter closes when you push the round button.
3029,JLPT1,人格,じんかく,"character, personality",Noun,私は彼の人格を尊敬しています。,わたし は かれ の じんかく を そんけい して います,I respect his character.
3030,JLPT0,吸い込む,すいこむ,"inhale, suck in",Verb,ほこりを吸い込んじゃった。,ほこり を すいこんじゃった,I have inhaled some dust.
3031,JLPT2,勧める,すすめる,"suggest, recommend",Verb,勧められて欲しくもないものを買っちゃったよ。,すすめられて ほしく も ない もの を かっちゃった よ,"On someone's advice, I ended up buying something I didn't want."
3032,JLPT2,スピーカー,スピーカー,speaker,Noun,このスピーカーは音がいいですね。,この すぴーかー は おと が いい です ね,The sound of this speaker is good.
3033,JLPT2,愛情,あいじょう,"love, affection",Noun,子供はたくさんの愛情が必要です。,こども は たくさん の あいじょう が ひつよう です,Children need plenty of love.
3034,JLPT2,足跡,あしあと,"footprint, footmark",Noun,雪の上にうさぎの足跡があった。,ゆき の うえ に うさぎ の あしあと が あった,There were rabbits' footprints in the snow.
3035,JLPT0,大雨,おおあめ,heavy rain,Noun,各地で大雨が降っています。,かくち で おおあめ が ふって います,Heavy rain is falling in all regions.
3036,JLPT0,河口,かこう,"river mouth, estuary",Noun,この川の河口は太平洋に注いでいます。,この かわ の かこう は たいへいよう に そそいで います,The mouth of this river flows into the Pacific Ocean.
3037,JLPT1,元来,がんらい,"originally, essentially",Adverb,彼は元来、真面目な人です。,かれ は がんらい まじめ な ひと です,He is essentially a serious person.
3038,JLPT1,気軽,きがる,"lighthearted, easy",Adjectival Noun,いつでも気軽に遊びに来て下さい。,いつでも きがる に あそび に きて ください,Please feel free to stop by any time.
3039,JLPT2,区切る,くぎる,"punctuate, divide",Verb,フロアはパーティションで区切られています。,ふろあ は ぱーてぃしょん で くぎられて います,The floor has been divided by a partition.
3040,JLPT0,組み合わせ,くみあわせ,"combination, assortment",Noun,色の組み合わせで印象が変わりますよ。,いろ の くみあわせ で いんしょう が かわります よ,The image changes according to the combination of colors.
3041,JLPT2,芝生,しばふ,"lawn, turf",Noun,芝生がよく手入れされていますね。,しばふ が よく ていれ されて います ね,The lawn is well-maintained.
3042,JLPT0,締め切り,しめきり,"deadline, time limit",Noun,申し込みの締め切りはいつですか。,もうしこみ の しめきり は いつ です か,When is the deadline for the application?
3043,JLPT1,出世,しゅっせ,"success, promotion",Verbal Noun,彼は出世するタイプだな。,かれ は しゅっせ する たいぷ だ な,He is the successful type.
3044,JLPT0,セールスマン,セールスマン,"sales representative, salesperson",Noun,以前、セールスマンをしていたことがあります。,いぜん せーるすまん を して いた こと が あります,I have worked as a salesman previously.
3045,JLPT2,合図,あいず,"signal, sign",Verbal Noun,車掌が発車の合図をしたよ。,しゃしょう が はっしゃ の あいず を した よ,The conductor gave the signal to depart.
3046,JLPT1,教え,おしえ,"lesson, teachings",Noun,父の教えは「自分に厳しく」です。,ちち の おしえ は じぶん に きびしく です,My father told me to be strict with myself.
3047,JLPT2,おしゃべり,おしゃべり,"chatter, idle talk",Noun,彼女たちはおしゃべりに夢中です。,かのじょたち は おしゃべり に むちゅう です,Those women are absorbed in their conversation.
3048,JLPT0,カラオケ,カラオケ,karaoke,Noun,カラオケで思い切り歌ったの。,からおけ で おもいきり うたった の,I sang karaoke to my heart's content.
3049,JLPT2,器具,きぐ,"utensil, implement",Noun,これはスポーツ施設用の器具です。,これ は すぽーつ しせつよう の きぐ です,This is equipment for the sports facility.
3050,JLPT2,こっそり,こっそり,"stealthily, secretly",Adverb,彼女はこっそりダイエットを始めたの。,かのじょ は こっそり だいえっと を はじめた の,She started dieting in secret.
3051,JLPT0,ジョギング,ジョギング,jogging,Verbal Noun,私は毎日ジョギングをしています。,わたし は まいにち じょぎんぐ を して います,I jog every day.
3052,JLPT2,あれこれ,あれこれ,"this and that, one thing or another",Noun,服を買うのにあれこれ迷いました。,ふく を かう の に あれこれ まよいました,"When I was buying clothes, I couldn't decide between different things."
3053,JLPT2,映す,うつす,"reflect, project",Verb,彼女は自分の姿を鏡に映したの。,かのじょ は じぶん の すがた を かがみ に うつした の,She looked at herself in the mirror.
3054,JLPT2,およそ,およそ,just about,Adverb,家から駅までおよそ1キロあります。,いえ から えき まで およそ いちきろ あります,It's about one kilometer from home to the station.
3055,JLPT1,高原,こうげん,"plateau, highland",Noun,高原には気持ちのいい風が吹いていたよ。,こうげん に は きもち の いい かぜ が ふいていた よ 。,A pleasant breeze blew across the plateau.
3056,JLPT2,小遣い,こづかい,"pocket money, spending money",Noun,おじいちゃんにお小遣いをもらったよ。,おじいちゃん に おこづかい を もらった よ,I got pocket money from grandpa.
3057,JLPT2,サークル,サークル,"circle, club",Noun,どのサークルに入るか迷っちゃった。,どの さーくる に はいる か まよっちゃった,I wasn't sure which club to join.
3058,JLPT0,社会人,しゃかいじん,"member of society, working person",Noun,この春に彼は社会人になったよ。,この はる に かれ は しゃかいじん に なった よ,He became a working adult this spring.
3059,JLPT1,収集,しゅうしゅう,"collection, gathering",Verbal Noun,彼の趣味は切手収集です。,かれ の しゅみ は きって しゅうしゅう です,His hobby is collecting stamps.
3060,JLPT2,税関,ぜいかん,"custom house, customs",Noun,毛皮を税関で没収されたんだ。,けがわ を ぜいかん で ぼっしゅう された ん だ,The fur was seized at customs.
3061,JLPT2,清潔,せいけつ,"cleanliness, neatness",Adjectival Noun,レストランは清潔が第一です。,れすとらん は せいけつ が だいいち です,In restaurants cleanliness is the most important thing.
3062,JLPT1,海峡,かいきょう,"straits, channel",Noun,その海峡に橋が掛けられました。,その かいきょう に はし が かけられました,A bridge was built across that strait.
3063,JLPT0,偏る,かたよる,"be one-sided, deviate",Verb,栄養が偏らないように食事に気を付けています。,えいよう が かたよらない よう に しょくじ に き を つけて います,I take care to maintain a balanced diet.
3064,JLPT2,貸し出し,かしだし,"lending service, checking out",Verbal Noun,その本は貸し出ししていません。,その ほん は かしだし して いません,That book can't be checked out.
3065,JLPT3,汽車,きしゃ,train,Noun,汽車で街まで行った。,きしゃ で まち まで いった,I went to town by train.
3066,JLPT0,キリスト,キリスト,"Christ, Christianity",Noun,キリストの母親の名前はマリアだ。,きりすと の ははおや の なまえ は まりあ だ,Christ's mother's name is Maria.
3067,JLPT2,唇,くちびる,"lip, lips",Noun,寒くて唇が青くなってしまった。,さむく て くちびる が あおく なって しまった,My lips are blue with cold.
3068,JLPT2,月給,げっきゅう,monthly salary,Noun,月給は毎月25日に支給されます。,げっきゅう は まいつき にじゅうごにち に しきゅう されます,The salary is paid on the 25th of every month.
3069,JLPT2,作曲,さっきょく,composition,Verbal Noun,この曲は誰が作曲したのですか。,この きょく は だれ が さっきょく した の です か,Who composed this tune?
3070,JLPT0,残業,ざんぎょう,overtime,Verbal Noun,昨日は遅くまで残業しました。,きのう は おそく まで ざんぎょう しました,I worked overtime till late yesterday.
3071,JLPT1,あっさり,あっさり,"plainly, matter-of-factly",Adverb,そうあっさり言わないで。,そう あっさり いわない で,Don't say it so matter-of-factly.
3072,JLPT0,打ち合わせ,うちあわせ,"meeting, arrangement",Verbal Noun,午後に打ち合わせをしましょう。,ごご に うちあわせ を しましょう,Let's have a meeting in the afternoon.
3073,JLPT1,衰える,おとろえる,"weaken, decline",Verb,年と共に体力が衰えています。,とし と とも に たいりょく が おとろえて います,The body has become weak with age.
3074,JLPT0,思いがけない,おもいがけない,"unexpected, accidental",Adjective,彼から思いがけないことを聞いた。,かれ から おもいがけない こと を きいた,I heard something unexpected from him.
3075,JLPT2,鐘,かね,"bell, gong",Noun,この鐘の音はとてもきれいですね。,この かね の ね は とても きれい です ね,The sound of this bell is very beautiful.
3076,JLPT2,苦痛,くつう,"pain, agony",Noun,私は人前で話すことが苦痛です。,わたし は ひとまえ で はなす こと が くつう です,It is painful for me to speak in front of other people.
3077,JLPT3,暮れる,くれる,grow dark,Verb,日が暮れる前に帰りましょう。,ひ が くれる まえ に かえりましょう,Let's go home before it gets dark.
3078,JLPT1,結核,けっかく,tuberculosis,Noun,昔は結核でたくさんの人が亡くなった。,むかし は けっかく で たくさん の ひと が なくなった,"In the past, a lot of people died of tuberculosis."
3079,JLPT1,栄える,さかえる,"flourish, thrive",Verb,ここはかつてゴールドラッシュで栄えた町だよ。,ここ は かつて ごーるど らっしゅ で さかえた まち だ よ,This town once prospered during the Gold Rush.
3080,JLPT2,次第,しだい,as soon as,Noun,連絡があり次第出発します。,れんらく が あり しだい しゅっぱつ します,I will depart once I am told.
3081,JLPT2,済ませる,すませる,"finish off, get done with",Verb,昼ごはんは簡単に済ませましょう。,ひるごはん は かんたん に すませましょう,Let's have a quick lunch.
3082,JLPT2,せっせと,せっせと,"hard, diligently",Adverb,彼は朝から晩までせっせと働いたの。,かれ は あさ から ばん まで せっせと はたらいた の,He worked hard from morning till night.
3083,JLPT0,慌ただしい,あわただしい,busy,Adjective,今日は慌ただしい一日でした。,きょう は あわただしい いちにち でした,It was a busy day today.
3084,JLPT2,薄暗い,うすぐらい,"gloomy, dim",Adjective,外はもう薄暗くなりましたよ。,そと は もう うすぐらく なりました よ,It is already getting dark outside.
3085,JLPT0,カタログ,カタログ,catalogue,Noun,カタログを見て注文したんだ。,かたろぐ を みて ちゅうもん した ん だ,I looked at the catalog and placed an order.
3086,JLPT0,客観的,きゃっかんてき,objective,Adjective,彼は自分の状況を客観的に見てみたのね。,かれ は じぶん の じょうきょう を きゃっかんてき に みて みた の ね,He tried to look at his situation objectively.
3087,JLPT0,気力,きりょく,"energy, vitality",Noun,彼は気力にあふれていますね。,かれ は きりょく に あふれて います ね,He really has energy to spare.
3088,JLPT2,郡,ぐん,county,Noun,この郡は来年、市になりますよ。,この ぐん は らいねん し に なります よ,This county will turn into a city next year.
3089,JLPT2,下町,したまち,old part of town,Noun,あの子は下町育ちだ。,あの こ は したまち そだち だ,That kid was raised in the old part of town.
3090,JLPT1,ジャズ,ジャズ,jazz,Noun,昨日の夜、ジャズを聴きに行きました。,きのう の よる じゃず を きき に いきました,I went to listen to jazz last night.
3091,JLPT2,心身,しんしん,mind and body,Noun,私は心身共に疲れていました。,わたし は しんしん ともに つかれて いました,I was mentally and physically tired.
3092,JLPT2,浮く,うく,float,Verb,氷は水に浮きます。,こおり は みず に うきます,Ice floats on water.
3093,JLPT0,運動場,うんどうじょう,"playground, sports field",Noun,運動場でサッカーをしよう。,うんどうじょう で さっかー を しよう,Let's play soccer in the playing field.
3094,JLPT2,家具,かぐ,furniture,Noun,部屋の家具を動かしました。,へや の かぐ を うごかしました,I moved the furniture in the room.
3095,JLPT2,刀,かたな,"sword, blade",Noun,日本映画で刀を見た。,にほん えいが で かたな を みた,I saw a sword in a Japanese movie.
3096,JLPT0,工学部,こうがくぶ,department of engineering,Noun,彼は工学部の教授です。,かれ は こうがくぶ の きょうじゅ です,He is a professor in the Department of Engineering.
3097,JLPT2,サイン,サイン,"signature, autograph",Verbal Noun,ここにサインしてください。,ここ に さいん して ください,Please sign here.
3098,JLPT2,車輪,しゃりん,wheel,Noun,このトラックの車輪は頑丈そうですね。,この とらっく の しゃりん は がんじょう そう です ね,The wheels of this truck look strong.
3099,JLPT2,食器,しょっき,"tableware, dinner set",Noun,食器を全部新しくしました。,しょっき を ぜんぶ あたらしく しました,I replaced all the tableware.
3100,JLPT0,市立,しりつ,"municipal, city",Noun,娘は市立の学校に通っています。,むすめ は しりつ の がっこう に かよって います,My daughter goes to a municipal school.
3101,JLPT1,値する,あたいする,"be worth, deserve",Verb,その絵は一見に値しますよ。,その え は いっけん に あたい します よ,That painting is worth a look.
3102,JLPT2,偉大,いだい,"great, mighty",Adjective,彼は偉大な事業をなしとげました。,かれ は いだい な じぎょう を なしとげ ました,He accomplished a great project.
3103,JLPT1,棄権,きけん,"dropping out, renouncing rights",Verbal Noun,彼は試合の途中で棄権したぞ。,かれ は しあい の とちゅう で きけん した ぞ,He sat out during the game.
3104,JLPT2,外科,げか,surgery,Noun,友人が骨折して外科に入院しました。,ゆうじん が こっせつ して げか に にゅういん しました,My friend broke a bone and was admitted to hospital for surgery.
3105,JLPT1,決勝,けっしょう,"final, final game",Noun,僕たちは頑張って決勝まで進んだよ。,ぼくたち は がんばって けっしょう まで すすんだ よ,We tried hard and advanced to the finals.
3106,JLPT2,公衆,こうしゅう,the public,Noun,彼は公衆電話を探したの。,かれ は こうしゅう でんわ を さがした の,He looked for a public phone.
3107,JLPT1,ごまかす,ごまかす,"deceive, evade",Verb,彼は質問の答えをごまかしたね。,かれ は しつもん の こたえ を ごまかした ね,He cheated on the answer to the question.
3108,JLPT2,削除,さくじょ,"deletion, elimination",Verbal Noun,要らないファイルは削除して下さい。,いらない ふぁいる は さくじょ して ください,Please delete unneeded files.
3109,JLPT1,インテリ,インテリ,intelligent,Noun,彼女はインテリで、しかも美人ですね。,かのじょ は いんてり で しかも びじん です ね,She is not only intelligent but beautiful too.
3110,JLPT1,追い出す,おいだす,"turn out, kick out",Verb,彼は家から追い出された。,かれ は いえ から おいだされた,He was kicked out from his home.
3111,JLPT2,丘,おか,"hill, slope",Noun,丘の上にホテルが建ちましたね。,おか の うえ に ほてる が たちました ね,A hotel was built on top of the hill.
3112,JLPT2,思い込む,おもいこむ,"assume, believe",Verb,彼は騙されたと思い込んでいるようです。,かれ は だまされた と おもいこんで いる よう です,He's apparently convinced he's been cheated.
3113,JLPT2,貝,かい,"shellfish, shell",Noun,浜辺できれいな貝を拾いました。,はまべ で きれい な かい を ひろいました,I found a beautiful shell on the beach.
3114,JLPT2,空想,くうそう,"fantasy, daydreams",Verbal Noun,彼は空想にふけっているの。,かれ は くうそう に ふけって いる の,He's indulging himself in daydreams.
3115,JLPT1,区画,くかく,"division, section",Noun,あそこの3区画は売り出し中です。,あそこ の さんくかく は うりだしちゅう です,Those three sections are on sale.
3116,JLPT2,坂,さか,"slope, incline",Noun,この坂を上るのはすごくきついね。,この さか を のぼる の は すごく きつい ね,Going up this slope is very hard.
3117,JLPT2,締め切る,しめきる,"close, fix a deadline",Verb,応募受付は締め切りました。,おうぼ うけつけ は しめきりました,The deadline for receipt of applications is closed.
3118,JLPT1,出演,しゅつえん,"appearance on stage, performance",Verbal Noun,彼女はその映画に出演しているよ。,かのじょ は その えいが に しゅつえん して いる よ,She is performing in the movie.
3119,JLPT2,攻める,せめる,"attack, take the offensive",Verb,彼は積極的に攻めたが勝てなかったな。,かれ は せっきょくてき に せめた が かてなかった な,He didn't win although he put up a good attack.
3120,JLPT2,いちいち,いちいち,"one by one, in detail",Adverb,彼はいちいち私に指図する。,かれ は いちいち わたし に さしず する,He gives me instructions on everything.
3121,JLPT1,一部分,いちぶぶん,"part, portion",Noun,僕が知っているのは一部分に過ぎない。,ぼく が しって いる の は いちぶぶん に すぎない,What I know is only a portion of it.
3122,JLPT1,祈り,いのり,prayer,Noun,その日、国民は平和への祈りを捧げるの。,その ひ こくみん は へいわ へ の いのり を ささげる　の,The people pray for peace on that day.
3123,JLPT2,恨み,うらみ,"grudge, hatred",Noun,彼女は長年の恨みを晴らした。,かのじょ は ながねん の うらみ を はらした,She settled an old score.
3124,JLPT1,英雄,えいゆう,hero,Noun,彼は国の英雄ですね。,かれ は くに の えいゆう です ね,He is a national hero.
3125,JLPT0,絵本,えほん,picture book,Noun,その子は絵本が大好きです。,その こ は えほん が だいすき です,That child loves picture books.
3126,JLPT0,思いやり,おもいやり,"thoughtfulness, kindness",Noun,彼女の思いやりが嬉しかった。,かのじょ の おもいやり が うれしかった,I was glad for her kindness.
3127,JLPT0,顔色,かおいろ,"complexion, countenance",Noun,彼は顔色がよくありませんね。,かれ は かおいろ が よく ありません ね 。,His face looks pale.
3128,JLPT1,願書,がんしょ,application form,Noun,今日大学に願書を送りました。,きょう だいがく に がんしょ を おくりました,Today I sent an application form to the college.
3129,JLPT2,幸運,こううん,"good fortune, good luck",Adjectival Noun,幸運にもチケットを手に入れました。,こううん に も ちけっと を て に いれました,"Fortunately, I got a ticket."
3130,JLPT2,採点,さいてん,"marking, grading",Verbal Noun,先生は試験の採点が終わったようね。,せんせい は しけん の さいてん が おわった よう ね,It seems that the teacher has finished marking the examination.
3131,JLPT2,座敷,ざしき,"drawing room, Japanese-style room",Noun,明日はお座敷での宴会になります。,あした は おざしき で の えんかい に なります,Tomorrow's banquet will be in a tatami-floored room.
3132,JLPT2,司会,しかい,"master of ceremonies, host",Verbal Noun,彼は司会が上手ですね。,かれ は しかい が じょうず です ね,He is a good moderator.
3133,JLPT2,社説,しゃせつ,editorial,Noun,この新聞の社説は面白いね。,この しんぶん の しゃせつ は おもしろい ね,The editorial in this newspaper is interesting.
3134,JLPT2,診察,しんさつ,medical examination,Verbal Noun,今日、病院で診察してもらったの。,きょう びょういん で しんさつ して もらった の,I had an examination at the hospital today.
3135,JLPT1,ストライキ,ストライキ,strike,Noun,従業員は明日からストライキです。,じゅうぎょういん は あす から すとらいき です,Employees will go on strike from tomorrow.
