Core-index,jlpt ,Vocab-expression,Vocab-kana,Vocab-meaning,Vocab-pos,Sentence-expression,Sentence-kana,Sentence-meaning
1615,JLPT2,糊,のり,"glue, starch",Noun,糊で2枚の紙を貼り合わせた。,のり で にまい の かみ を はり あわせた,I stuck two sheets of paper together with glue.
1616,JLPT0,バスケットボール,バスケットボール,basketball,Noun,姉はバスケットボールの選手です。,あね は ばすけっとぼーる の せんしゅ です,My big sister's a basketball player.
1617,JLPT2,晴れ,はれ,"fine weather, clear sky",Noun,明日の天気は晴れです。,あす の てんき は はれ です,Tomorrow's weather will be sunny.
1618,JLPT0,欲しがる,ほしがる,"desire, wish for, covet",Verb,子供がジュースを欲しがっています。,こども が じゅーす を ほしがって います,My kid wants some juice.
1619,JLPT0,味噌汁,みそしる,miso soup,Noun,私は毎日味噌汁を飲みます。,わたし は まいにち みそしる を のみます 。,I have miso soup every day.
1620,JLPT0,読み方,よみかた,"way of reading, reading",Noun,この漢字の読み方を教えてください。,この かんじ の よみかた を おしえて ください,Please tell me how to read this Chinese character.
1621,JLPT4,嫌,いや,"dislike, have a dislike for",Adjectival Noun,私は待つのが嫌だ。,わたし は まつ の が いや だ,I hate waiting.
1622,JLPT0,入り口,いりぐち,entrance,Noun,入り口は向こうです。,いりぐち は むこう です,The entrance is over there.
1623,JLPT0,色々,いろいろ,in various ways,Adjectival Noun,彼は色々なことを知っている。,かれ は いろいろ な こと を しって いる,He knows about a lot of things.
1624,JLPT2,降ろす,おろす,"unload, set down",Verb,彼は車から荷物を降ろした。,かれ は くるま から にもつ を おろした,He unloaded the luggage from the car.
1625,JLPT2,掛かる,かかる,"hang, splash, require",Verb,壁に大きな時計が掛かっています。,かべ に おおき な とけい が かかって います,There's a big clock hanging on the wall.
1626,JLPT3,サンドイッチ,サンドイッチ,sandwich,Noun,今日のお昼はサンドイッチです。,きょう の おひる は さんどいっち です,We're having sandwiches for lunch.
1627,JLPT2,四角,しかく,"square, quadrilateral",Adjectival Noun,紙を四角に切ってください。,かみ を しかく に きって ください,Please cut the paper into a square.
1628,JLPT2,四角い,しかくい,"square, four-sided",Adjective,こっちの四角いテーブルを買おうよ。,こっち の しかくい てーぶる を かおうよ,Let's buy this square table over here.
1629,JLPT2,突き当たる,つきあたる,"hit against, come to the end of",Verb,突き当たったら右に曲がってください。,つきあたったら みぎ に まがって ください,Please turn right when the street ends.
1630,JLPT2,定期券,ていきけん,commuter's pass,Noun,定期券は1万2千円でした。,ていきけん は いちまんにせんえん でした,"The commuter pass was 1,2000 yen."
1631,JLPT2,にこにこ,にこにこ,smile,Adverb,彼女はいつもにこにこしています。,かのじょ は いつも にこにこ して います,She's always smiling.
1632,JLPT2,馬鹿,ばか,"fool, nonsense",Adjectival Noun,私は馬鹿だった。,わたし は ばか だった,I was foolish.
1633,JLPT2,名字,みょうじ,"surname, family name",Noun,あなたの名字は何ですか。,あなた の みょうじ は なん です か,What's your surname?
1634,JLPT2,下る,くだる,"go down, go down or away from a central place",Verb,小さな船が川を下っています。,ちいさ な ふね が かわ を くだって います,A small ship is going down the river.
1635,JLPT2,ウール,ウール,wool,Noun,このウールのセーターは暖かい。,この うーる の せーたー は あたたかい,This wool sweater is warm.
1636,JLPT0,コーラ,コーラ,"cola, coke",Noun,私の兄はコーラが好きだ。,わたし の あに は こーら が すき だ,My older brother likes cola.
1637,JLPT0,トイレットペーパー,トイレットペーパー,toilet paper,Noun,トイレットペーパーを交換しました。,といれっとぺーぱー を こうかん しました,I changed the toilet paper.
1638,JLPT4,どなた,どなた,who,Noun,失礼ですが、どなたですか。,しつれい です が 、 どなた です か 。,"Excuse me, but who are you?"
1639,JLPT0,乗り換え,のりかえ,"change, transfer",Verbal Noun,次の駅で乗り換えです。,つぎ の えき で のりかえ です,I'm transfering at the next station.
1640,JLPT2,ハイキング,ハイキング,hiking,Verbal Noun,昨日は友人とハイキングに行きました。,きのう は ゆうじん と はいきんぐ に いきました,I went hiking with a friend yesterday.
1641,JLPT4,灰皿,はいざら,ashtray,Noun,灰皿をください。,はいざら を ください,Please give me an ashtray.
1642,JLPT0,バス停,ばすてい,bus stop,Noun,次のバス停で降ります。,つぎ の ばすてい で おります,I get off at the next bus stop.
